country,name,position,overall,photo
kazakhstan,Islam Chesnokov,FWD,87,kazakhstan_islam_chesnokov_37567243.png
kazakhstan,Damir Kasabulat,MID,86,kazakhstan_damir_kasabulat_24065390.png
kazakhstan,Bakhtiyar Zaynutdinov,DEF,77,kazakhstan_bakhtiyar_zaynutdinov_135816.png
kazakhstan,Aleksandr Marochkin,DEF,76,kazakhstan_aleksandr_marochkin_135993.png
kazakhstan,Sergey Maliy,DEF,78,kazakhstan_sergey_maliy_135504.png
kazakhstan,Aleksander Zuev,FWD,82,kazakhstan_aleksander_zuev_170264.png
kazakhstan,Kazhimukan Tolepbergen,GK,77,kazakhstan_kazhimukan_tolepbergen_37575870.png
kazakhstan,Mukhammedzhan Seysen,GK,75,kazakhstan_mukhammedzhan_seysen_15836965.png
kazakhstan,Ivan Sviridov,FWD,84,kazakhstan_ivan_sviridov_37548314.png
kazakhstan,Temirlan Anarbekov,GK,87,kazakhstan_temirlan_anarbekov_37356338.png
kazakhstan,Erkin Tapalov,DEF,80,kazakhstan_erkin_tapalov_135435.png
kazakhstan,Zhan-Ali Payruz,FWD,76,kazakhstan_zhanali_payruz_540479.png
kazakhstan,Adilbek Zhumakhanov,DEF,78,kazakhstan_adilbek_zhumakhanov_37260371.png
kazakhstan,Sagadat Tursynbay,DEF,75,kazakhstan_sagadat_tursynbay_786364.png
kazakhstan,Almas Tyulyubay,MID,78,kazakhstan_almas_tyulyubay_37582747.png
kazakhstan,Georgiy Zhukov,MID,83,kazakhstan_georgiy_zhukov_26788.png
kazakhstan,Nauryzbek Zhagorov,MID,80,kazakhstan_nauryzbek_zhagorov_135987.png
kazakhstan,Ramazan Karimov,FWD,82,kazakhstan_ramazan_karimov_15832928.png
kazakhstan,Dastan Satpaev,FWD,85,kazakhstan_dastan_satpaev_37725233.png
kazakhstan,Ramazan Orazov,MID,82,kazakhstan_ramazan_orazov_538359.png
kazakhstan,Ular Zhaksybaev,DEF,86,kazakhstan_ular_zhaksybaev_135884.png
kazakhstan,Serikzhan Muzhikov,MID,77,kazakhstan_serikzhan_muzhikov_134757.png
kazakhstan,Stas Pokatilov,GK,79,kazakhstan_stas_pokatilov_135402.png
kazakhstan,A. Aymbetov,FWD,88,kazakhstan_a_aymbetov_135526.png
kazakhstan,Askhat Tagybergen,MID,82,kazakhstan_askhat_tagybergen_135148.png
kazakhstan,Dinmukhammed Kashken,DEF,75,kazakhstan_dinmukhammed_kashken_7713988.png
kazakhstan,Bekkhan Shayzada,GK,88,kazakhstan_bekkhan_shayzada_7387375.png
kazakhstan,Sultanbek Astanov,DEF,84,kazakhstan_sultanbek_astanov_5283485.png
kazakhstan,Artur Shushenachev,FWD,86,kazakhstan_artur_shushenachev_3568538.png
argentina,Lautaro Rivero,DEF,85,argentina_lautaro_rivero_37748161.png
argentina,Juan Foyth,DEF,78,argentina_juan_foyth_335705.png
argentina,Gianluca Prestianni,FWD,84,argentina_gianluca_prestianni_37625767.png
argentina,Ángel Correa,FWD,81,argentina_ngel_correa_186675.png
argentina,Julián Alvarez,FWD,83,argentina_julin_alvarez_21394947.png
argentina,Marcos Senesi,DEF,88,argentina_marcos_senesi_333989.png
argentina,Leonardo Balerdi,DEF,81,argentina_leonardo_balerdi_13171199.png
argentina,Germán Pezzella,DEF,79,argentina_germn_pezzella_186733.png
argentina,Marcos Acuña,DEF,86,argentina_marcos_acua_212976.png
argentina,Nahuel Molina,DEF,77,argentina_nahuel_molina_455900.png
argentina,Máximo Perrone,MID,77,argentina_mximo_perrone_37545384.png
argentina,Leandro Paredes,MID,75,argentina_leandro_paredes_129419.png
argentina,Franco Mastantuono,FWD,83,argentina_franco_mastantuono_37729623.png
argentina,Joaquín Panichelli,FWD,75,argentina_joaqun_panichelli_37663291.png
argentina,José Manuel López,FWD,75,argentina_jos_manuel_lpez_37552296.png
argentina,Demian Talavera,GK,80,argentina_demian_talavera_38207547.png
