Country,RawName,FileName,Position(GK/DEF/MID/FWD),Rating(0-99)
argentina_a__mac,allister,argentina_a__mac_allister_6716.png,,
argentina_e_,palacios,argentina_e__palacios_6002.png,,
argentina_f_,armani,argentina_f__armani_2463.png,,
argentina_g_,pezzella,argentina_g__pezzella_2469.png,,
argentina_g_,rulli,argentina_g__rulli_47296.png,,
argentina_lautaro_mart,nez,argentina_lautaro_mart_nez_217.png,,
argentina_l_,balerdi,argentina_l__balerdi_6.png,,
argentina_l__mart,nez,argentina_l__mart_nez_6000.png,,
argentina_l_,messi,argentina_l__messi_154.png,,
argentina_l_,paredes,argentina_l__paredes_271.png,,
argentina_m__acu,a,argentina_m__acu_a_1493.png,,
argentina_n__gonz,lez,argentina_n__gonz_lez_26315.png,,
argentina_n_,molina,argentina_n__molina_6503.png,,
argentina_n__p,rez,argentina_n__p_rez_37.png,,
argentina_n_,tagliafico,argentina_n__tagliafico_529.png,,
argentina_n_,valentini,argentina_n__valentini_311071.png,,
argentina_p_,dybala,argentina_p__dybala_875.png,,
argentina_r__de,paul,argentina_r__de_paul_2472.png,,
argentina_v_,carboni,argentina_v__carboni_341646.png,,
argentina___,correa,argentina____correa_53.png,,
australia_a_,mabil,australia_a__mabil_2755.png,,
australia_a_,redmayne,australia_a__redmayne_6820.png,,
australia_a_,toure,australia_a__toure_153603.png,,
australia_b_,fornaroli,australia_b__fornaroli_6918.png,,
australia_c_,goodwin,australia_c__goodwin_6888.png,,
australia_k_,rowles,australia_k__rowles_7038.png,,
australia_l_,thomas,australia_l__thomas_6845.png,,
australia_m_,boyle,australia_m__boyle_44843.png,,
australia_m_,duke,australia_m__duke_6993.png,,
australia_m_,tilio,australia_m__tilio_68041.png,,
australia_m_,tour_,australia_m__tour__198352.png,,
australia_n_,atkinson,australia_n__atkinson_6908.png,,
australia_p_,yazbek,australia_p__yazbek_269539.png,,
australia_r_,mcgree,australia_r__mcgree_6913.png,,
australia_r_,strain,australia_r__strain_6885.png,,
australia_s_,silvera,australia_s__silvera_126872.png,,
australia_t_,deng,australia_t__deng_6849.png,,
